index,morph_type,target,cognate,legal_non,illegal_non,sentence1,sentence2
1,simple,point,punto,pantu,jhfmr,They make a great X to travel to see sports in action.,A very important X is how the character acted.
2,simple,change,cambio,caprea,pthmdv,"If we could maybe X the time, it would be better.",Only one little X and it would have been different. 
3,simple,yellow,giallo,fuollo,ptrxkm,Yesterday he declared X alerts for several areas.,On the table there were large X plates for the main course.
4,complex,entity,entità,entitu,pglwqv,The creation of a novel X didn't depend on that.,It is actually a living X and not a dead one.
5,complex,soldier,soldato,soldunu,ctmwzjf,In the room of each X there was a shield.,First there was the female X in charge of the war.
6,complex,funeral,funebre,funepro,ltmjdfv,We used to hold X services for pets.,They had chosen exclusive X homes in advance.
